12th Street Rag                   D
Banjo Music                       https://youtu.be/Cw5mPEG2Izs
John James                        https://youtu.be/uad6_IcUDHU
Adam Swanson                      https://youtu.be/DDGAzWtNMKc

Leake County Blues
Leake County Revelers             https://youtu.be/xYelpGcQpyU
Trip Henderson                    https://youtu.be/YKvcxmQcm7U

Georgia Camp Meeting  A
Dukes of Dixieland                https://youtu.be/if_nbB5-_lc
Chet Atkins                       https://youtu.be/G_z1inh-Apg

This Train Is Bound For Glory     A
Mumford and Sons, Edward Sharpe   https://youtu.be/Kb2uciHpe4U

Foggy Mountain Breakdown          G
Steve Martin & Earl Scruggs       https://www.youtube.com/watch?v=rrlqQ1_vZVE
Willow Osborne                    https://www.youtube.com/watch?v=fnMhUPewk6c
